name	variant	category
Exo 2 regular	regular	sans-serif
Exo 2 italic	italic	sans-serif
Exo 2 500	500	sans-serif
Exo 2 500italic	500italic	sans-serif
Exo 2 600	600	sans-serif
Exo 2 600italic	600italic	sans-serif
Exo 2 700	700	sans-serif
Exo 2 700italic	700italic	sans-serif
Exo 2 800	800	sans-serif
Exo 2 800italic	800italic	sans-serif
Exo 2 900	900	sans-serif
Exo 2 900italic	900italic	sans-serif
Asap regular	regular	sans-serif
Asap italic	italic	sans-serif
Asap 500	500	sans-serif
Asap 500italic	500italic	sans-serif
Asap 700	700	sans-serif
Asap 700italic	700italic	sans-serif
Varela Round regular	regular	sans-serif
Abel regular	regular	sans-serif
Quicksand 300	300	sans-serif
Quicksand regular	regular	sans-serif
Quicksand 500	500	sans-serif
Quicksand 700	700	sans-serif
Gloria Hallelujah regular	regular	handwriting
Pacifico regular	regular	handwriting
Rubik 300	300	sans-serif
Rubik 300italic	300italic	sans-serif
Rubik regular	regular	sans-serif
Rubik italic	italic	sans-serif
Rubik 500	500	sans-serif
Rubik 500italic	500italic	sans-serif
Rubik 700	700	sans-serif
Rubik 700italic	700italic	sans-serif
Rubik 900	900	sans-serif
Rubik 900italic	900italic	sans-serif
Karla regular	regular	sans-serif
Karla italic	italic	sans-serif
Karla 700	700	sans-serif
Karla 700italic	700italic	sans-serif
Ubuntu Condensed regular	regular	sans-serif
Work Sans 100	100	sans-serif
Work Sans 200	200	sans-serif
Work Sans 300	300	sans-serif
Work Sans regular	regular	sans-serif
Work Sans 500	500	sans-serif
Work Sans 600	600	sans-serif
Work Sans 700	700	sans-serif
Work Sans 800	800	sans-serif
Work Sans 900	900	sans-serif
Cuprum regular	regular	sans-serif
Cuprum italic	italic	sans-serif
Cuprum 700	700	sans-serif
Cuprum 700italic	700italic	sans-serif
Signika 300	300	sans-serif
Signika regular	regular	sans-serif
Signika 600	600	sans-serif
Signika 700	700	sans-serif
Archivo Narrow regular	regular	sans-serif
Archivo Narrow italic	italic	sans-serif
Archivo Narrow 700	700	sans-serif
Archivo Narrow 700italic	700italic	sans-serif
Play regular	regular	sans-serif
Play 700	700	sans-serif
Questrial regular	regular	sans-serif
Shadows Into Light regular	regular	handwriting
Dancing Script regular	regular	handwriting
Dancing Script 700	700	handwriting
PT Sans Caption regular	regular	sans-serif
PT Sans Caption 700	700	sans-serif
Alegreya regular	regular	serif
Alegreya italic	italic	serif
Alegreya 700	700	serif
Alegreya 700italic	700italic	serif
Alegreya 900	900	serif
Alegreya 900italic	900italic	serif
Francois One regular	regular	sans-serif
Exo 100	100	sans-serif
